energy_eV_rel_EF,Coact-Oads_16_347_down,Coact-Oads_16_347_up,Coact-Obridge_16_258_down,Coact-Obridge_16_258_up,neighbor-Obridge_51_258_down,neighbor-Obridge_51_258_up
0.90226,-0,-0,-0,-0,-0,-0
0.95238,-0,-0,-0,-0,-0,-0
1.00251,-0,-0,-0,-0,-0,-0
1.05263,-0,-0,-0,-0,-0,-0
1.10276,-0,-0,-0,-0,-0,-0
1.15288,-0,-0,-0,-0,-0,-0
1.20301,-0,-0,-0,-0,-0,-0
1.25313,-0,-0,-0,-0,-0,-0
1.30326,-0,-0,-0,0,0,-0
1.35338,-0,-0,-0,-0,-0,-0
1.40351,-0,-0,-0,-0,-0,-0
1.45363,-0,-0,-0,-0,-0,-0
1.50376,-0,-0,-1e-05,-1e-05,-0,-1e-05
1.55388,-0,-0,-0.0001,-0.00011,-2e-05,-9e-05
1.60401,-0,-0,-0.00027,-0.00049,-0.00046,-0.00019
1.65414,-0,-0,-0.00128,-0.00565,-0.0058,9e-05
1.70426,-0,-0,-0.00515,-0.02698,-0.02429,0.00113
1.75439,-0,-0,-0.0078,-0.03043,-0.02315,-0.00055
1.80451,-0,-0,-0.01411,-0.02266,-0.00468,-0.02179
1.85464,-0,-0,-0.01207,-0.02209,0.00368,-0.11382
1.90476,-0,-0,-0.00379,-0.0142,0.00751,-0.14076
1.95489,-0,-0,-0.00281,-0.01857,0.02524,-0.18517
2.00501,-0,-0,-0.00508,-0.03544,0.05268,-0.34901
2.05514,-2e-05,-2e-05,-0.00259,-0.0148,0.01931,-0.14346
2.10526,-0.0026,-0.00196,-0.00457,-0.00307,-0.00867,-0.03937
2.15539,-0.04771,-0.03622,-0.01547,-0.00779,-0.03288,-0.07566
2.20551,-0.17429,-0.13321,-0.03483,-0.03775,-0.0778,-0.0729
2.25564,-0.13641,-0.105,-0.04694,-0.05906,-0.1105,-0.07091
2.30576,-0.02223,-0.01722,-0.06887,-0.06004,-0.12061,-0.09822
2.35589,-0.00114,-0.00162,-0.08733,-0.0544,-0.10916,-0.10316
2.40602,-0.00367,-0.00802,-0.05606,-0.05674,-0.07611,-0.16289
2.45614,-0.01019,-0.01776,-0.04725,-0.10578,-0.11271,-0.91845
2.50627,-0.01255,-0.01854,-0.09256,-0.20583,-0.2194,-1.59637
2.55639,-0.00677,-0.00771,-0.0834,-0.1533,-0.15268,-0.65188
2.60652,-0.07235,-0.05609,-0.14395,-0.17025,-0.17321,-0.14279
2.65664,-0.30967,-0.24208,-0.21745,-0.24641,-0.257,-0.18246
2.70677,-0.2515,-0.19851,-0.09957,-0.13474,-0.13855,-0.31251
2.75689,-0.04981,-0.03539,-0.07989,-0.08816,-0.15805,-0.28453
2.80702,-0.04291,-0.02596,-0.10009,-0.05168,-0.24741,-0.09959
2.85714,-0.0505,-0.06831,-0.05563,-0.0192,-0.24419,-0.0802
2.90727,-0.06458,-0.11197,-0.03666,-0.01636,-0.3935,-0.10719
2.95739,-0.07394,-0.08036,-0.03691,-0.04092,-0.30066,-0.09275
3.00752,-0.05982,-0.04951,-0.10435,-0.05886,-0.12616,-0.09732
3.05764,-0.08853,-0.10051,-0.15351,-0.04894,-0.11327,-0.09598
3.10777,-0.10059,-0.16312,-0.10299,-0.07992,-0.14606,-0.07608
3.15789,-0.0599,-0.12711,-0.12097,-0.12348,-0.13084,-0.0688
3.20802,-0.02656,-0.09709,-0.17293,-0.1202,-0.10321,-0.07615
3.25815,-0.00914,-0.06123,-0.19508,-0.12817,-0.09196,-0.07172
3.30827,-0.00299,-0.03072,-0.25916,-0.21337,-0.0864,-0.05362
3.35840,-0.00222,-0.02418,-0.3904,-0.30247,-0.10775,-0.05685
3.40852,-0.00792,-0.01555,-0.49393,-0.31768,-0.07249,-0.04605
3.45865,-0.05259,-0.0453,-0.37637,-0.23854,-0.05095,-0.06712
3.50877,-0.11385,-0.09699,-0.21082,-0.12912,-0.07579,-0.14198
3.55890,-0.10054,-0.13268,-0.18097,-0.09024,-0.08033,-0.17323
3.60902,-0.10067,-0.15764,-0.16014,-0.07764,-0.06879,-0.15531
3.65915,-0.17117,-0.11308,-0.15805,-0.1165,-0.05485,-0.12638
3.70927,-0.20016,-0.12863,-0.11139,-0.09893,-0.05119,-0.10136
3.75940,-0.20819,-0.26713,-0.13449,-0.12709,-0.05598,-0.10417
3.80952,-0.29058,-0.50595,-0.17125,-0.18901,-0.0612,-0.10491
3.85965,-0.35765,-0.64201,-0.22264,-0.19469,-0.108,-0.12309
3.90977,-0.25996,-0.38037,-0.27049,-0.2091,-0.16371,-0.13643
3.95990,-0.32368,-0.31128,-0.26756,-0.24879,-0.16746,-0.09628
4.01003,-0.52537,-0.50596,-0.38743,-0.36816,-0.17228,-0.0589
4.06015,-0.32089,-0.62533,-0.39187,-0.31636,-0.14233,-0.07638
4.11028,-0.18743,-0.52293,-0.32702,-0.21231,-0.12792,-0.13879
4.16040,-0.18029,-0.2963,-0.25587,-0.21562,-0.16669,-0.14952
4.21053,-0.24319,-0.20125,-0.24813,-0.28457,-0.21333,-0.10207
4.26065,-0.28953,-0.16117,-0.30648,-0.31109,-0.24361,-0.06822
4.31078,-0.31337,-0.19803,-0.26669,-0.31811,-0.28128,-0.03281
4.36090,-0.44992,-0.29284,-0.28395,-0.37039,-0.3469,-0.01592
4.41103,-0.41626,-0.31299,-0.38609,-0.37096,-0.36292,-0.0146
4.46115,-0.30055,-0.36107,-0.3922,-0.33335,-0.31887,-0.01161
4.51128,-0.40093,-0.42081,-0.27769,-0.30887,-0.28018,-0.00907
4.56140,-0.38199,-0.4334,-0.23293,-0.31536,-0.35035,-0.01528
4.61153,-0.45817,-0.27811,-0.20247,-0.29573,-0.37465,-0.00388
4.66165,-0.35985,-0.21958,-0.15667,-0.25069,-0.34706,0.00489
4.71178,-0.33999,-0.21339,-0.15941,-0.27842,-0.37971,-0.0003
4.76190,-0.35861,-0.22601,-0.26573,-0.35592,-0.4742,-0.00218
4.81203,-0.29947,-0.29427,-0.35961,-0.27576,-0.40443,0.0059
4.86216,-0.20841,-0.25074,-0.37184,-0.18295,-0.32447,0.01682
4.91228,-0.23378,-0.22997,-0.39018,-0.25248,-0.3308,0.0085
4.96241,-0.36064,-0.20577,-0.39742,-0.30465,-0.3431,0.01505
5.01253,-0.38233,-0.25838,-0.33436,-0.31,-0.3898,0.02351
