system,state,site_role,orbital,spin,window,Emin_eV,Emax_eV,integrated_PDOS
Al16,*O,Coact,dyz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0013322099755
Al16,*O,Coact,dyz,down,unoccupied 0 to 1 eV,0.0,1.0,0.005857628895000001
Al16,*O,Coact,dz2,up,occupied -2 to 0 eV,-2.0,0.0,0.006961094500000002
Al16,*O,Coact,dz2,up,near-EF -1 to 0 eV,-1.0,0.0,0.00205282685
Al16,*O,Coact,dz2,up,unoccupied 0 to 1 eV,0.0,1.0,-4.3958149030855654e-06
Al16,*O,Coact,dz2,down,occupied -2 to 0 eV,-2.0,0.0,0.17097023234500008
Al16,*O,Coact,dz2,down,near-EF -1 to 0 eV,-1.0,0.0,0.0015790012749999998
Al16,*O,Coact,dz2,down,unoccupied 0 to 1 eV,0.0,1.0,0.007533413875
Al16,*O,Coact,dxz,up,occupied -2 to 0 eV,-2.0,0.0,0.17853882035000002
Al16,*O,Coact,dxz,up,near-EF -1 to 0 eV,-1.0,0.0,0.170779724
Al16,*O,Coact,dxz,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0012810078183191037
Al16,*O,Coact,dxz,down,occupied -2 to 0 eV,-2.0,0.0,0.04682183731400002
Al16,*O,Coact,dxz,down,near-EF -1 to 0 eV,-1.0,0.0,0.004578993644
Al16,*O,Coact,dxz,down,unoccupied 0 to 1 eV,0.0,1.0,0.016204776705
Al16,*O,Coact,dx2-y2,up,occupied -2 to 0 eV,-2.0,0.0,0.08120772395
Al16,*O,Coact,dx2-y2,up,near-EF -1 to 0 eV,-1.0,0.0,0.07706141270000001
Al16,*O,Coact,dx2-y2,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0006262087731684168
Al16,*O,Coact,dx2-y2,down,occupied -2 to 0 eV,-2.0,0.0,0.06082374530500003
Al16,*O,Coact,dx2-y2,down,near-EF -1 to 0 eV,-1.0,0.0,0.00016133304499999995
Al16,*O,Coact,dx2-y2,down,unoccupied 0 to 1 eV,0.0,1.0,0.032910221
Al16,*O,Oads,px,up,occupied -2 to 0 eV,-2.0,0.0,0.34264057715
Al16,*O,Oads,px,up,near-EF -1 to 0 eV,-1.0,0.0,0.2243347945
Al16,*O,Oads,px,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0028981510259667997
Al16,*O,Oads,px,down,occupied -2 to 0 eV,-2.0,0.0,0.028312602888000006
Al16,*O,Oads,px,down,near-EF -1 to 0 eV,-1.0,0.0,0.016404443358000002
Al16,*O,Oads,px,down,unoccupied 0 to 1 eV,0.0,1.0,0.16082207950000002
Al16,*O,Oads,py,up,occupied -2 to 0 eV,-2.0,0.0,0.27798672649999995
Al16,*O,Oads,py,up,near-EF -1 to 0 eV,-1.0,0.0,0.0786175115
Al16,*O,Oads,py,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0010669133020602213
Al16,*O,Oads,py,down,occupied -2 to 0 eV,-2.0,0.0,0.025841624533000006
Al16,*O,Oads,py,down,near-EF -1 to 0 eV,-1.0,0.0,0.0062962530700000005
Al16,*O,Oads,py,down,unoccupied 0 to 1 eV,0.0,1.0,0.32318070500000007
Al16,*O,Oads,pz,up,occupied -2 to 0 eV,-2.0,0.0,0.3808161830000001
Al16,*O,Oads,pz,up,near-EF -1 to 0 eV,-1.0,0.0,0.149457509
Al16,*O,Oads,pz,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0008994336141833263
Al16,*O,Oads,pz,down,occupied -2 to 0 eV,-2.0,0.0,0.16097621508000007
Al16,*O,Oads,pz,down,near-EF -1 to 0 eV,-1.0,0.0,0.037437190829999994
Al16,*O,Oads,pz,down,unoccupied 0 to 1 eV,0.0,1.0,0.1161881119497
