energy_eV_rel_EF,spin,dos,projection,system,state
-0.21916,down,0.00594527,Coact d,Al16,*OH
-0.21916,up,0.1517661,Coact d,Al16,*OH
-0.10916,down,0.028801749999999997,Coact d,Al16,*OH
-0.10916,up,-0.052233199999999994,Coact d,Al16,*OH
0.00084,down,0.03919945,Coact d,Al16,*OH
0.00084,up,-0.025985,Coact d,Al16,*OH
0.11084,down,0.01964623,Coact d,Al16,*OH
0.11084,up,-0.00444693,Coact d,Al16,*OH
0.22184,down,0.001118257,Coact d,Al16,*OH
0.22184,up,-0.000561076,Coact d,Al16,*OH
0.33184,down,-0.0018960200000000002,Coact d,Al16,*OH
0.33184,up,-0.0001070383,Coact d,Al16,*OH
0.44184,down,-0.000571618,Coact d,Al16,*OH
0.44184,up,-2.05543e-05,Coact d,Al16,*OH
0.55284,down,-6.68911e-05,Coact d,Al16,*OH
0.55284,up,-2.4186199999999997e-06,Coact d,Al16,*OH
0.66284,down,-3.7690600000000002e-06,Coact d,Al16,*OH
0.66284,up,-1.5833100000000002e-07,Coact d,Al16,*OH
0.77284,down,-1.6131400000000001e-06,Coact d,Al16,*OH
0.77284,up,-5.70945e-09,Coact d,Al16,*OH
0.88384,down,-7.06539e-05,Coact d,Al16,*OH
0.88384,up,-1.133182e-10,Coact d,Al16,*OH
0.99384,down,-0.0017340699999999999,Coact d,Al16,*OH
0.99384,up,-1.23629e-12,Coact d,Al16,*OH
-2.42516,down,0.055584999999999996,Oads p,Al16,*OH
-2.42516,up,0.23546,Oads p,Al16,*OH
-2.31516,down,0.20399,Oads p,Al16,*OH
-2.31516,up,0.5178,Oads p,Al16,*OH
-2.20516,down,0.32052,Oads p,Al16,*OH
-2.20516,up,0.6083999999999999,Oads p,Al16,*OH
-2.09516,down,0.31045,Oads p,Al16,*OH
-2.09516,up,0.42407,Oads p,Al16,*OH
-1.98416,down,0.27047,Oads p,Al16,*OH
-1.98416,up,0.23701,Oads p,Al16,*OH
-1.87416,down,0.27227,Oads p,Al16,*OH
-1.87416,up,0.17607,Oads p,Al16,*OH
-1.76416,down,0.24237,Oads p,Al16,*OH
-1.76416,up,0.139673,Oads p,Al16,*OH
-1.65316,down,0.129969,Oads p,Al16,*OH
-1.65316,up,0.095057,Oads p,Al16,*OH
-1.54316,down,0.007090000000000001,Oads p,Al16,*OH
-1.54316,up,0.10407040000000001,Oads p,Al16,*OH
-1.43316,down,0.013047999999999999,Oads p,Al16,*OH
-1.43316,up,0.121365,Oads p,Al16,*OH
-1.32216,down,0.312888,Oads p,Al16,*OH
-1.32216,up,0.087144,Oads p,Al16,*OH
-1.21216,down,0.6692922,Oads p,Al16,*OH
-1.21216,up,0.0371911,Oads p,Al16,*OH
-1.10216,down,0.5364591,Oads p,Al16,*OH
-1.10216,up,-0.002896,Oads p,Al16,*OH
-0.99216,down,0.13899050000000002,Oads p,Al16,*OH
-0.99216,up,-0.038106,Oads p,Al16,*OH
-0.88116,down,-0.02570648,Oads p,Al16,*OH
-0.88116,up,0.111534,Oads p,Al16,*OH
-0.77116,down,-0.01928761,Oads p,Al16,*OH
-0.77116,up,0.6980611,Oads p,Al16,*OH
-0.66116,down,-0.00401508,Oads p,Al16,*OH
-0.66116,up,1.341,Oads p,Al16,*OH
-0.55016,down,-0.006802,Oads p,Al16,*OH
-0.55016,up,1.7082000000000002,Oads p,Al16,*OH
-0.44016,down,-0.041498,Oads p,Al16,*OH
-0.44016,up,1.7751099999999997,Oads p,Al16,*OH
-0.33016,down,-0.079,Oads p,Al16,*OH
-0.33016,up,1.04976,Oads p,Al16,*OH
-0.21916,down,0.24323999999999998,Oads p,Al16,*OH
-0.21916,up,0.1730051,Oads p,Al16,*OH
-0.10916,down,1.1812,Oads p,Al16,*OH
-0.10916,up,-0.079314,Oads p,Al16,*OH
0.00084,down,1.608,Oads p,Al16,*OH
0.00084,up,-0.0358597,Oads p,Al16,*OH
0.11084,down,0.8058000000000001,Oads p,Al16,*OH
0.11084,up,-0.0055085,Oads p,Al16,*OH
0.22184,down,0.045789,Oads p,Al16,*OH
0.22184,up,-0.00052167,Oads p,Al16,*OH
0.33184,down,-0.07780000000000001,Oads p,Al16,*OH
0.33184,up,-8.218e-05,Oads p,Al16,*OH
0.44184,down,-0.023446,Oads p,Al16,*OH
