"energy_relative_to_EF_eV","O258_p_total_down","O258_p_total_up","O259_p_total_down","O259_p_total_up","O294_p_total_down","O294_p_total_up"
"-13.63409000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.58396000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.53383000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.48371000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.43358000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.38346000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.33333000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.28321000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.23308000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.18296000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.13283000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.08271000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-13.03258000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.98246000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.93233000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.88221000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.83208000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.78195000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.73183000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.68170000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.63158000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.58145000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.53133000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.48120000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.43108000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.38095000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.33083000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.28070000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.23058000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.18045000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.13033000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.08020000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-12.03008000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.97995000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.92982000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.87970000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.82957000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.77945000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.72932000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.67920000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.62907000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.57895000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.52882000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.47870000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.42857000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.37845000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.32832000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.27820000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.22807000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.17794000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.12782000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.07769000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-11.02757000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.97744000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.92732000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.87719000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.82707000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
