x_A,y_A,charge_total_Al16,charge_total_undoped,magnetization_Al16,magnetization_undoped,spin_down_Al16,spin_down_undoped,spin_up_Al16,spin_up_undoped
3.90150,-1.66086,-2.5031937e-05,0.003690768,-0.00037623534,-0.0037702713,0.0001756017,0.0037305197,-0.00020063364,-3.9751641e-05
-3.96406,-1.61672,-0.0012598643,-0.0013727247,7.4094962e-05,-0.00019483233,-0.00066697964,-0.00058894616,-0.00059288467,-0.00078377849
-3.89796,-1.61672,-0.0014279814,-0.0015970407,0.00017919052,-0.00012150877,-0.00080358598,-0.00073776598,-0.00062439544,-0.0008592747
-3.83186,-1.61672,-0.0016520469,-0.0019041803,0.00038766814,4.2972279e-05,-0.0010198576,-0.00097357627,-0.00063218939,-0.000930604
-3.76577,-1.61672,-0.0019065026,-0.0022544805,0.00065194617,0.00026582688,-0.0012792244,-0.0012601537,-0.00062727823,-0.00099432678
-3.69967,-1.61672,-0.0021842159,-0.002643412,0.00096661918,0.00054400892,-0.0015754176,-0.0015937104,-0.00060879835,-0.0010497016
-3.63357,-1.61672,-0.0025006181,-0.0031055375,0.0014149854,0.0009562737,-0.0019578016,-0.0020309056,-0.00054281636,-0.0010746319
-3.56747,-1.61672,-0.0027841572,-0.0035844808,0.0019346772,0.0014633469,-0.0023594173,-0.002523914,-0.00042473996,-0.001060567
-3.50138,-1.61672,-0.0030628121,-0.0041029165,0.0025286817,0.0020582129,-0.002795747,-0.0030805646,-0.00026706525,-0.0010223518
-3.43528,-1.61672,-0.0034249779,-0.0047112252,0.0033136862,0.0028248299,-0.0033693321,-0.0037680275,-5.5645825e-05,-0.00094319764
-3.36918,-1.61672,-0.0036798844,-0.0052434052,0.0041466099,0.0036674242,-0.003913247,-0.0044554146,0.00023336278,-0.00078799052
-3.30309,-1.61672,-0.0039215423,-0.005792161,0.0050760941,0.0046180356,-0.004498818,-0.0052050985,0.00057727587,-0.00058706268
-3.23699,-1.61672,-0.0044167144,-0.0065290993,0.0064521446,0.0059902938,-0.0054344293,-0.0062596966,0.0010177151,-0.00026940275
-3.17089,-1.61672,-0.0047913934,-0.0071488591,0.0078552691,0.0074145314,-0.006323331,-0.0072816955,0.0015319379,0.00013283617
-3.10479,-1.61672,-0.0050376044,-0.0076671476,0.0092798499,0.008892999,-0.0071587274,-0.0082800733,0.0021211228,0.00061292574
-3.03870,-1.61672,-0.0051762564,-0.0080623981,0.010639981,0.010342417,-0.0079081189,-0.0092024077,0.0027318625,0.0011400096
-2.97260,-1.61672,-0.005195776,-0.0083305994,0.011935366,0.011726697,-0.0085655712,-0.010028648,0.0033697952,0.0016980488
-2.90650,-1.61672,-0.0050300318,-0.0083780717,0.01300869,0.012866662,-0.0090193609,-0.010622367,0.0039893296,0.0022442951
-2.84041,-1.61672,-0.00465594,-0.0081452932,0.013686987,0.013620064,-0.0091714635,-0.010882678,0.0045155231,0.0027373852
-2.77431,-1.61672,-0.0041799047,-0.0077740811,0.014246449,0.014236973,-0.0092131766,-0.011005526,0.0050332723,0.0032314458
-2.70821,-1.61672,-0.0037172965,-0.0072698346,0.014606206,0.014551807,-0.0091617508,-0.010910821,0.0054444545,0.0036409863
-2.64211,-1.61672,-0.0030903048,-0.0064995405,0.014629963,0.014540149,-0.0088601336,-0.010519844,0.0057698293,0.0040203044
-2.57602,-1.61672,-0.0023332248,-0.0055398601,0.014368188,0.014204384,-0.0083507057,-0.0098721217,0.0060174814,0.0043322621
-2.50992,-1.61672,-0.0016189718,-0.004489142,0.013846666,0.013509064,-0.0077328188,-0.0089991027,0.0061138468,0.0045099612
-2.44382,-1.61672,-0.00076917163,-0.0032246578,0.012712209,0.012184816,-0.0067406902,-0.0077047371,0.0059715183,0.0044800793
-2.37773,-1.61672,0.00013187213,-0.0018810622,0.011410617,0.010672593,-0.0056393724,-0.0062768273,0.0057712449,0.0043957653
-2.31163,-1.61672,0.0010120833,-0.00051642623,0.010016307,0.0090357186,-0.004502112,-0.0047760722,0.0055141952,0.0042596464
-2.24553,-1.61672,0.0017402808,0.00072891661,0.0084886244,0.0072917696,-0.0033741719,-0.0032814266,0.0051144524,0.004010343
-2.17943,-1.61672,0.0024644418,0.0019767652,0.0069415825,0.0055374266,-0.0022385702,-0.0017803307,0.0047030123,0.0037570959
