system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*OH	0.99384	down	TDOS	0	all	total	-0.006073	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.10384	up	TDOS	0	all	total	-6.141e-10	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.10384	down	TDOS	0	all	total	-0.08441	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.21384	up	TDOS	0	all	total	-9.169e-11	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.21384	down	TDOS	0	all	total	-0.5804	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.32484	up	TDOS	0	all	total	-1.523e-08	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.32484	down	TDOS	0	all	total	-1.649	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.43484	up	TDOS	0	all	total	-1.383e-06	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.43484	down	TDOS	0	all	total	0.6112	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.54484	up	TDOS	0	all	total	-6.652e-05	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.54484	down	TDOS	0	all	total	15.23	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.65584	up	TDOS	0	all	total	-0.001664	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.65584	down	TDOS	0	all	total	41.5	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.76584	up	TDOS	0	all	total	-0.02087	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.76584	down	TDOS	0	all	total	58.89	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.87584	up	TDOS	0	all	total	-0.1191	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.87584	down	TDOS	0	all	total	48.21	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.98584	up	TDOS	0	all	total	-0.1918	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	1.98584	down	TDOS	0	all	total	23.99	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.09684	up	TDOS	0	all	total	0.6868	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.09684	down	TDOS	0	all	total	15.43	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.20684	up	TDOS	0	all	total	2.956	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.20684	down	TDOS	0	all	total	20.97	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.31684	up	TDOS	0	all	total	4.352	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.31684	down	TDOS	0	all	total	26.53	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.42784	up	TDOS	0	all	total	4.204	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.42784	down	TDOS	0	all	total	28.55	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.53784	up	TDOS	0	all	total	4.219	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.53784	down	TDOS	0	all	total	27.11	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.64784	up	TDOS	0	all	total	4.76	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.64784	down	TDOS	0	all	total	23.69	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.75884	up	TDOS	0	all	total	5.964	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.75884	down	TDOS	0	all	total	22.79	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.86884	up	TDOS	0	all	total	7.465	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.86884	down	TDOS	0	all	total	28.89	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.97884	up	TDOS	0	all	total	9.214	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	2.97884	down	TDOS	0	all	total	45.42	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.08884	up	TDOS	0	all	total	11.02	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.08884	down	TDOS	0	all	total	70.05	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.19984	up	TDOS	0	all	total	11.85	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.19984	down	TDOS	0	all	total	88.3	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.30984	up	TDOS	0	all	total	11.98	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.30984	down	TDOS	0	all	total	92.59	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.41984	up	TDOS	0	all	total	12.48	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.41984	down	TDOS	0	all	total	86.23	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.53084	up	TDOS	0	all	total	13.37	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.53084	down	TDOS	0	all	total	73.04	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.64084	up	TDOS	0	all	total	14.21	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.64084	down	TDOS	0	all	total	64.89	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.75084	up	TDOS	0	all	total	15.15	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.75084	down	TDOS	0	all	total	65.64	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.86184	up	TDOS	0	all	total	16.74	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.86184	down	TDOS	0	all	total	67.82	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.97184	up	TDOS	0	all	total	19.69	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	3.97184	down	TDOS	0	all	total	72.79	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	up	Coact	16	Co	dxy	0.7745	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	down	Coact	16	Co	dxy	0.006569	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	up	Coact	16	Co	dyz	0.341	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	down	Coact	16	Co	dyz	0.0002947	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	up	Coact	16	Co	dz2	0.06869	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	down	Coact	16	Co	dz2	0.02331	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	up	Coact	16	Co	dxz	0.5464	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-7.94016	down	Coact	16	Co	dxz	0.001372	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
