system	state	spin	E_EF_eV	minusCOHP	minusICOHP
pristine_OH	*OH	up	-4.36090000	0.30526000	3.70450000
pristine_OH	*OH	up	-4.31078000	0.33878000	3.72148000
pristine_OH	*OH	up	-4.26065000	0.29442000	3.73624000
pristine_OH	*OH	up	-4.21053000	0.25550000	3.74904000
pristine_OH	*OH	up	-4.16040000	0.23863000	3.76100000
pristine_OH	*OH	up	-4.11028000	0.19124000	3.77059000
pristine_OH	*OH	up	-4.06015000	0.09643000	3.77542000
pristine_OH	*OH	up	-4.01003000	0.05601000	3.77823000
pristine_OH	*OH	up	-3.95990000	0.06679000	3.78158000
pristine_OH	*OH	up	-3.90977000	0.06142000	3.78466000
pristine_OH	*OH	up	-3.85965000	0.04301000	3.78681000
pristine_OH	*OH	up	-3.80952000	0.03165000	3.78840000
pristine_OH	*OH	up	-3.75940000	0.01992000	3.78940000
pristine_OH	*OH	up	-3.70927000	0.00695000	3.78975000
pristine_OH	*OH	up	-3.65915000	0.00401000	3.78995000
pristine_OH	*OH	up	-3.60902000	0.00754000	3.79032000
pristine_OH	*OH	up	-3.55890000	0.00217000	3.79043000
pristine_OH	*OH	up	-3.50877000	-0.02027000	3.78942000
pristine_OH	*OH	up	-3.45865000	-0.06295000	3.78626000
pristine_OH	*OH	up	-3.40852000	-0.05871000	3.78332000
pristine_OH	*OH	up	-3.35840000	-0.03347000	3.78164000
pristine_OH	*OH	up	-3.30827000	-0.01940000	3.78067000
pristine_OH	*OH	up	-3.25815000	-0.01540000	3.77990000
pristine_OH	*OH	up	-3.20802000	-0.00974000	3.77941000
pristine_OH	*OH	up	-3.15789000	-0.00278000	3.77927000
pristine_OH	*OH	up	-3.10777000	-0.00460000	3.77904000
pristine_OH	*OH	up	-3.05764000	-0.01096000	3.77849000
pristine_OH	*OH	up	-3.00752000	-0.00347000	3.77832000
pristine_OH	*OH	up	-2.95739000	0.00719000	3.77868000
pristine_OH	*OH	up	-2.90727000	-0.00419000	3.77847000
pristine_OH	*OH	up	-2.85714000	-0.01960000	3.77748000
pristine_OH	*OH	up	-2.80702000	-0.01749000	3.77661000
pristine_OH	*OH	up	-2.75689000	-0.00917000	3.77615000
pristine_OH	*OH	up	-2.70677000	-0.00437000	3.77593000
pristine_OH	*OH	up	-2.65664000	-0.00239000	3.77581000
pristine_OH	*OH	up	-2.60652000	-0.00095000	3.77576000
pristine_OH	*OH	up	-2.55639000	-0.00016000	3.77575000
pristine_OH	*OH	up	-2.50627000	0.00372000	3.77594000
pristine_OH	*OH	up	-2.45614000	0.00572000	3.77623000
pristine_OH	*OH	up	-2.40602000	0.00657000	3.77656000
pristine_OH	*OH	up	-2.35589000	0.00157000	3.77663000
pristine_OH	*OH	up	-2.30576000	-0.01094000	3.77609000
pristine_OH	*OH	up	-2.25564000	-0.01462000	3.77535000
pristine_OH	*OH	up	-2.20551000	-0.01449000	3.77463000
pristine_OH	*OH	up	-2.15539000	-0.01657000	3.77380000
pristine_OH	*OH	up	-2.10526000	-0.01914000	3.77284000
pristine_OH	*OH	up	-2.05514000	-0.01729000	3.77197000
pristine_OH	*OH	up	-2.00501000	-0.01644000	3.77115000
pristine_OH	*OH	up	-1.95489000	-0.01992000	3.77015000
pristine_OH	*OH	up	-1.90476000	-0.03127000	3.76858000
pristine_OH	*OH	up	-1.85464000	-0.03319000	3.76692000
pristine_OH	*OH	up	-1.80451000	-0.01442000	3.76619000
pristine_OH	*OH	up	-1.75439000	-0.01503000	3.76544000
pristine_OH	*OH	up	-1.70426000	-0.01615000	3.76463000
pristine_OH	*OH	up	-1.65414000	-0.00857000	3.76420000
pristine_OH	*OH	up	-1.60401000	-0.01060000	3.76367000
pristine_OH	*OH	up	-1.55388000	-0.01612000	3.76286000
pristine_OH	*OH	up	-1.50376000	-0.01068000	3.76233000
pristine_OH	*OH	up	-1.45363000	-0.00869000	3.76189000
pristine_OH	*OH	up	-1.40351000	-0.01680000	3.76105000
pristine_OH	*OH	up	-1.35338000	-0.02690000	3.75970000
pristine_OH	*OH	up	-1.30326000	-0.02512000	3.75844000
pristine_OH	*OH	up	-1.25313000	-0.02119000	3.75738000
pristine_OH	*OH	up	-1.20301000	-0.01289000	3.75673000
pristine_OH	*OH	up	-1.15288000	-0.00071000	3.75670000
pristine_OH	*OH	up	-1.10276000	-0.00713000	3.75634000
pristine_OH	*OH	up	-1.05263000	-0.01806000	3.75544000
pristine_OH	*OH	up	-1.00251000	-0.01346000	3.75476000
pristine_OH	*OH	up	-0.95238000	-0.01524000	3.75400000
pristine_OH	*OH	up	-0.90226000	-0.02184000	3.75290000
pristine_OH	*OH	up	-0.85213000	-0.02206000	3.75180000
pristine_OH	*OH	up	-0.80201000	-0.03320000	3.75013000
pristine_OH	*OH	up	-0.75188000	-0.05120000	3.74757000
pristine_OH	*OH	up	-0.70175000	-0.04852000	3.74513000
pristine_OH	*OH	up	-0.65163000	-0.02599000	3.74383000
pristine_OH	*OH	up	-0.60150000	-0.00655000	3.74350000
pristine_OH	*OH	up	-0.55138000	-0.00591000	3.74321000
pristine_OH	*OH	up	-0.50125000	-0.01122000	3.74264000
pristine_OH	*OH	up	-0.45113000	-0.01060000	3.74211000
pristine_OH	*OH	up	-0.40100000	-0.00755000	3.74173000
pristine_OH	*OH	up	-0.35088000	-0.01216000	3.74112000
pristine_OH	*OH	up	-0.30075000	-0.02561000	3.73984000
pristine_OH	*OH	up	-0.25063000	-0.04706000	3.73748000
pristine_OH	*OH	up	-0.20050000	-0.05769000	3.73459000
pristine_OH	*OH	up	-0.15038000	-0.06325000	3.73142000
pristine_OH	*OH	up	-0.10025000	-0.13347000	3.72473000
pristine_OH	*OH	up	-0.05013000	-0.21591000	3.71391000
pristine_OH	*OH	up	0.00000000	-0.13688000	3.70705000
pristine_OH	*OH	up	0.05013000	-0.03877000	3.70510000
pristine_OH	*OH	up	0.10025000	-0.00561000	3.70482000
pristine_OH	*OH	up	0.15038000	-0.00028000	3.70481000
pristine_OH	*OH	up	0.20050000	-0.00000000	3.70481000
pristine_OH	*OH	up	0.25063000	-0.00000000	3.70481000
pristine_OH	*OH	up	0.30075000	-0.00000000	3.70481000
pristine_OH	*OH	up	0.35088000	-0.00002000	3.70481000
pristine_OH	*OH	up	0.40100000	-0.00018000	3.70480000
pristine_OH	*OH	up	0.45113000	-0.00041000	3.70478000
pristine_OH	*OH	up	0.50125000	-0.00030000	3.70476000
pristine_OH	*OH	up	0.55138000	-0.00016000	3.70475000
pristine_OH	*OH	up	0.60150000	-0.00004000	3.70475000
