energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-3.41816,0.08369,0.02307,0.04368,0.04254,0.02927,0.003709,0.02269,0.04014,0.3645,0.08561,0.1463,0.0934,0.05342,0.1077,0.03406,0.00809,0.08048,0.196,0.1374,0.1476,0.01269,0.03577,102.5,104.6,0.00882,0.01198,0.003523,0.008792,0.001532,0.002945,0.004545,0.009457
-3.30816,0.07667,0.01549,0.05096,0.03959,0.02522,0.003926,0.01068,0.03882,0.5124,0.105,0.1951,0.1082,0.03368,0.09564,0.02674,0.006934,0.04287,0.1943,0.08518,0.1103,0.01305,0.03169,103.2,108.4,0.006479,0.01038,0.004001,0.01121,0.001801,0.002466,0.004029,0.004839
-3.19716,0.06341,0.0168,0.03784,0.05789,0.0126,0.006778,0.01745,0.04473,0.3747,0.191,0.1417,0.1366,0.01277,0.06606,0.01603,0.005861,0.01908,0.1386,0.04511,0.07758,0.008685,0.02478,95.94,114,0.004653,0.007179,0.004246,0.01498,0.001697,0.002214,0.002913,0.00308
-3.08716,0.05092,0.01865,0.0221,0.09958,0.07061,0.01052,0.02783,0.05954,0.1508,0.3001,0.08724,0.1638,0.04822,0.04419,0.01995,0.005873,0.01077,0.08001,0.0323,0.06772,0.003959,0.01963,91.76,121.1,0.002809,0.007966,0.003814,0.01843,0.001351,0.001832,0.001924,0.003566
-2.97716,0.03576,0.0201,0.01412,0.09966,0.334,0.009977,0.06156,0.05725,0.09828,0.2678,0.1897,0.1294,0.2067,0.02553,0.04456,0.006073,0.01949,0.03986,0.03128,0.05751,0.002575,0.01464,99.07,123.4,0.001747,0.01096,0.003066,0.0152,0.001139,0.001928,0.001348,0.004105
-2.86716,0.0262,0.02153,0.01076,0.04609,0.6061,0.005141,0.1062,0.03372,0.1456,0.1183,0.3483,0.05973,0.3546,0.01147,0.07117,0.006034,0.04118,0.02287,0.03117,0.04315,0.002577,0.009529,108.1,120.4,0.001697,0.01077,0.002408,0.007701,0.001153,0.002478,0.001356,0.003577
-2.75616,0.02454,0.02424,0.009901,0.009707,0.4747,0.001947,0.09079,0.01721,0.1262,0.02381,0.2919,0.01992,0.265,0.007397,0.07491,0.005084,0.04614,0.01773,0.03006,0.03682,0.002923,0.006523,104.1,115.7,0.001492,0.006005,0.001747,0.003304,0.001021,0.002543,0.001558,0.002181
-2.64616,0.01916,0.03109,0.008882,0.005849,0.1359,0.002216,0.02756,0.01429,0.05067,0.006695,0.09237,0.01193,0.07353,0.00696,0.06013,0.002963,0.02694,0.01367,0.02896,0.04242,0.003667,0.005677,89.79,109.8,0.00103,0.001844,0.001192,0.002117,0.0006826,0.002035,0.001408,0.00115
-2.53616,0.01137,0.04191,0.006997,0.00784,-0.01277,0.004471,-0.003112,0.01621,0.004464,0.01008,-0.006468,0.02834,-0.003321,0.0161,0.0381,0.01358,0.008542,0.01061,0.02012,0.04146,0.002805,0.004939,75.72,100.5,0.0007543,0.0008596,0.0008083,0.001841,0.0003771,0.001939,0.0009205,0.001023
-2.42516,0.03332,0.06978,0.02263,0.009123,-0.01144,0.01058,0.04176,0.02794,0.03066,0.01695,0.008969,0.1006,0.002766,0.05934,0.04385,0.07552,0.004054,0.01312,0.007109,0.03066,0.001039,0.004075,67.14,88.71,0.0005654,0.001493,0.0004086,0.00168,0.0001541,0.00273,0.0005152,0.001608
-2.31516,0.1047,0.1133,0.08065,0.01111,0.0117,0.02088,0.1494,0.04781,0.165,0.02463,0.07273,0.2141,0.02296,0.1251,0.1083,0.1786,0.009353,0.02469,0.00731,0.03237,0.002668,0.004522,68.34,78.77,0.0005662,0.002747,0.0003803,0.001425,4.468e-05,0.003387,0.001291,0.00237
-2.20516,0.1741,0.1161,0.1738,0.01116,0.03166,0.02748,0.2244,0.05306,0.4262,0.02601,0.1276,0.2561,0.03212,0.142,0.1608,0.2103,0.01421,0.03631,0.0269,0.04132,0.00892,0.007125,80.52,71.03,0.0009006,0.003924,0.001529,0.001173,9.559e-05,0.003069,0.004536,0.002453
-2.09516,0.1969,0.06417,0.2759,0.009428,0.04684,0.02747,0.2176,0.03934,0.8049,0.02024,0.1282,0.188,0.03395,0.09747,0.1483,0.1386,0.01388,0.03931,0.05109,0.05251,0.01551,0.01666,95.34,65.94,0.001271,0.00426,0.004073,0.0009372,0.0003147,0.002254,0.008764,0.001838
-1.98416,0.1826,0.01662,0.2911,0.007791,0.05065,0.0282,0.1675,0.02289,0.9538,0.01432,0.08782,0.09506,0.05885,0.06244,0.1238,0.07951,0.01335,0.03539,0.05894,0.09853,0.01855,0.04138,103.9,67.58,0.001521,0.003398,0.005591,0.0007517,0.0005918,0.001623,0.009654,0.001138
-1.87416,0.1591,0.0005743,0.1587,0.006252,0.04008,0.03066,0.1099,0.01068,0.5683,0.01101,0.04677,0.03486,0.1078,0.05948,0.1177,0.08173,0.01464,0.02859,0.05445,0.1627,0.01854,0.0674,101.6,72.3,0.001715,0.001912,0.003841,0.0007784,0.0006501,0.001272,0.006062,0.0006808
-1.76416,0.1364,0.001268,0.0298,0.004472,0.02919,0.03221,0.06187,0.004858,0.1223,0.00842,0.02249,0.009083,0.1251,0.05187,0.09478,0.07872,0.01163,0.02087,0.04474,0.1571,0.01464,0.06417,85.67,71.7,0.001458,0.0009938,0.001339,0.0008394,0.0004525,0.0009715,0.002192,0.0004574
-1.65316,0.08228,0.007842,-0.006365,0.0032,0.02276,0.05138,0.02157,0.00615,-0.01654,0.006276,0.009559,0.001457,0.07617,0.03545,0.04424,0.05815,0.004311,0.01646,0.02555,0.09521,0.006236,0.04795,68.12,67.07,0.0006964,0.000773,0.0004249,0.0009963,0.0002303,0.0007453,0.000743,0.0004531
-1.54316,0.0206,0.01557,-0.01179,0.003393,0.01085,0.09534,-0.0009214,0.01063,-0.01271,0.005529,-0.001023,0.0004504,0.001886,0.03755,0.006227,0.06607,-0.001559,0.0212,0.007217,0.06137,-0.0009839,0.04742,66.53,64.64,0.0003053,0.0007014,0.000549,0.001284,9.396e-05,0.0008051,0.001378,0.0005515
-1.43316,-0.002609,0.01637,0.006527,0.004827,0.002672,0.1122,-0.001254,0.01138,0.0002071,0.005152,0.003266,0.001135,0.01275,0.04639,-0.002968,0.07384,0.001158,0.02621,0.0005182,0.04698,0.0005915,0.04389,78.43,63.88,0.0008661,0.0005862,0.001019,0.001092,0.0001221,0.0008998,0.003713,0.0004777
-1.32216,0.005241,0.009301,0.1183,0.005304,0.01278,0.07275,0.01638,0.007363,0.02315,0.003438,0.05431,0.001314,0.2597,0.03811,-0.001122,0.04772,0.02662,0.0189,0.001263,0.02627,0.02003,0.02514,95.54,59.56,0.001973,0.0004404,0.001371,0.0005036,0.0005636,0.0006802,0.005762,0.0002643
-1.21216,0.01688,0.002509,0.2477,0.00345,0.02789,0.02141,0.03526,0.003272,0.04622,0.001199,0.1146,0.0009611,0.5544,0.02078,0.0002922,0.01545,0.05772,0.006841,0.002728,0.01202,0.04316,0.008317,109.7,55.43,0.00259,0.0002929,0.001353,0.0002581,0.001189,0.0003889,0.005363,0.0001716
-1.10216,0.01403,0.0001877,0.1966,-1.049e-05,0.02233,-0.003798,0.02793,0.001703,0.03539,8.562e-05,0.09127,-0.0007354,0.4448,0.0008474,0.0003891,-0.003008,0.04766,0.001491,0.002367,0.008529,0.03533,0.002248,108.3,57.16,0.001929,0.0002135,0.0009544,0.0004069,0.001121,0.0003314,0.003126,0.0002304
-0.99216,0.003723,0.0002168,0.04994,-0.003011,0.00573,-0.01,0.007098,0.001819,0.008482,-7.847e-05,0.02333,-0.004946,0.1155,-0.01999,0.0001605,-0.01317,0.01362,0.001023,0.001101,0.008158,0.009794,0.001143,93.26,63.3,0.0008145,0.0002311,0.0003956,0.0005165,0.0004544,0.000405,0.001159,0.0003092
-0.88116,-0.0006296,-0.002084,-0.009985,0.01379,-0.001091,0.01469,-0.001398,-0.003921,-0.00193,0.0003792,-0.00457,-0.009346,-0.02118,0.08355,4.352e-05,0.03733,-0.001235,0.00178,0.0005881,0.01386,-0.00139,0.003401,80.71,72.19,0.0002136,0.0002508,9.696e-05,0.0004439,3.25e-05,0.0004184,0.0002971,0.0002753
-0.77116,-0.0005036,-0.007477,-0.007171,0.07525,-0.0008018,0.1035,-0.001008,-0.01815,-0.001259,0.001916,-0.003355,0.0002611,-0.01595,0.4734,1.739e-05,0.2244,-0.001099,0.004654,0.0005277,0.03463,-0.001264,0.01278,68.28,74.08,3.992e-05,0.0002032,5.301e-05,0.000339,-2.066e-05,0.0003286,7.21e-05,0.0001341
-0.66116,-9.737e-05,0.02199,-0.001322,0.137,-0.0001536,0.1955,-0.0001831,0.06319,-0.000219,0.003542,-0.0008994,0.1865,-0.003047,0.7874,-6.868e-05,0.3671,-8.621e-06,0.0125,0.0002513,0.05197,-0.0002594,0.02096,47.11,66.97,2.965e-05,0.0002096,3.535e-05,0.0003443,1.319e-05,0.000307,5.314e-05,0.0001019
-0.55016,-1.151e-05,0.1359,-0.0001345,0.1595,-0.0001296,0.2506,-7.772e-06,0.3873,-1.567e-05,0.004411,-0.003914,0.8377,-0.001733,0.6105,-0.001155,0.26,8.156e-05,0.02873,-2.259e-05,0.04022,-4.333e-05,0.01701,30.94,63.89,4.197e-05,0.0002967,1.139e-05,0.0004996,2.074e-05,0.0004338,7.291e-05,0.0003117
-0.44016,-5.055e-05,0.219,-0.0001727,0.1571,-0.0007499,0.283,1.199e-06,0.6356,1.301e-06,0.004665,-0.02459,1.386,-0.009557,0.293,-0.007351,0.09611,6.066e-05,0.03851,-0.0002765,0.01913,-0.0001273,0.008999,30.19,64.26,4.727e-05,0.0004114,1.17e-05,0.0006824,1.407e-05,0.0005515,0.0001215,0.0007246
-0.33016,-0.00011,0.1366,-0.000336,0.09395,-0.001424,0.188,-1.739e-05,0.407,2.173e-06,0.002895,-0.04684,0.9251,-0.01818,0.1003,-0.01398,0.02436,6.137e-05,0.02332,-0.0004978,0.007217,-0.0002448,0.003529,29.58,60.77,4.113e-05,0.0006403,1.595e-05,0.0008651,7.781e-06,0.0006982,0.0001457,0.001384
-0.21916,0.0003765,0.022,0.001073,0.01664,0.004393,0.04083,8.647e-05,0.07175,1.63e-05,0.0005461,0.144,0.1674,0.05618,0.00506,0.04306,0.0005451,4.709e-05,0.004269,0.001571,0.002132,0.0007771,0.0005545,20.11,64.23,1.876e-05,0.0007549,1.112e-05,0.0009448,5.045e-06,0.0007683,9.289e-05,0.001698
-0.10916,0.001808,-0.009282,0.005194,-0.006756,0.02133,-0.01069,0.0004107,-0.02531,5.905e-05,-0.0001952,0.6995,-0.06484,0.2726,-0.01143,0.2091,-0.003044,4.531e-05,-0.000662,0.007587,0.0009786,0.00376,-3.467e-05,16.24,73.16,3.084e-06,0.0004366,8.267e-06,0.0006204,7.232e-06,0.0005007,5.305e-05,0.0009749
0.00084,0.002461,-0.00414,0.00707,-0.003151,0.02903,-0.006197,0.0005598,-0.0124,7.865e-05,-9.7e-05,0.9524,-0.03106,0.371,-0.003832,0.2846,-0.0009677,3.862e-05,6.017e-05,0.01032,0.0007853,0.005118,8.763e-05,16.79,61,1.239e-07,7.78e-05,8.023e-06,0.0002003,7.22e-06,0.0001889,4.867e-05,0.0001546
