energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-3.57022,0.1246,0.06279,0.07219,0.07285,0.2746,0.005369,0.1503,0.03488,0.4259,0.263,0.4903,0.1565,0.1926,0.08919,0.265,0.07308,0.105,0.1759,0.1603,0.2169,0.04671,0.09668,77.27,69.48,0.02042,0.06514,0.003014,0.195,0.01335,0.07106,0.02099,0.05462,0.01558,0.2218
-3.46422,0.1014,0.101,0.07138,0.09212,0.3473,0.009922,0.2188,0.04769,0.2525,0.2581,0.4959,0.1565,0.2,0.1501,0.3485,0.06177,0.2212,0.1659,0.2518,0.2534,0.08085,0.1016,75.08,99.96,0.03206,0.1187,0.00367,0.2463,0.01354,0.07349,0.02888,0.09576,0.02099,0.2337
-3.35822,0.08138,0.172,0.06052,0.1085,0.2928,0.01621,0.2164,0.05988,0.0863,0.2083,0.2998,0.1996,0.1441,0.3308,0.2694,0.03807,0.2721,0.1095,0.2818,0.174,0.0882,0.07521,81,116.3,0.0382,0.1595,0.005642,0.2097,0.01521,0.05712,0.03449,0.1266,0.02679,0.1751
-3.25222,0.08214,0.2533,0.06376,0.1224,0.2028,0.02488,0.1377,0.07462,0.05482,0.2155,0.1202,0.3175,0.09078,0.6061,0.1192,0.02694,0.2239,0.06319,0.2336,0.08932,0.06254,0.05464,90.9,108.1,0.04518,0.1547,0.008697,0.1657,0.014,0.04316,0.02965,0.1277,0.02843,0.0918
-3.14622,0.1027,0.2571,0.09601,0.1182,0.1751,0.03103,0.06833,0.08067,0.08664,0.2354,0.05547,0.3588,0.07196,0.7121,0.0345,0.03717,0.1379,0.06508,0.1696,0.07787,0.03332,0.05541,103.2,104,0.08314,0.1949,0.01097,0.1679,0.01285,0.04986,0.02071,0.147,0.02581,0.08711
-3.04022,0.1168,0.1731,0.1316,0.09225,0.1592,0.02922,0.05049,0.06336,0.1126,0.1936,0.04888,0.2542,0.07273,0.5358,0.02123,0.0551,0.07762,0.102,0.1167,0.1018,0.01881,0.06016,121.4,128.9,0.1745,0.3655,0.01286,0.1939,0.01315,0.06219,0.0231,0.2234,0.02268,0.4211
-2.93422,0.1198,0.08437,0.144,0.06219,0.1224,0.02208,0.08532,0.03687,0.1074,0.1164,0.0599,0.1226,0.1007,0.2871,0.03102,0.06759,0.07457,0.1192,0.1218,0.1042,0.01377,0.05209,139.4,165.1,0.2504,0.5401,0.01822,0.209,0.01558,0.05421,0.04437,0.2813,0.02317,1.148
-2.82822,0.1246,0.03337,0.1408,0.03861,0.09499,0.01534,0.1607,0.02249,0.08814,0.06591,0.08247,0.05519,0.1451,0.1208,0.04165,0.07512,0.1261,0.09899,0.2076,0.0804,0.01355,0.03734,148.2,182.4,0.2371,0.5935,0.02995,0.1769,0.02562,0.03206,0.06752,0.259,0.02919,1.628
-2.72222,0.1225,0.01372,0.1361,0.02857,0.08331,0.01352,0.2066,0.02391,0.09183,0.051,0.09298,0.04384,0.1469,0.046,0.04773,0.09681,0.188,0.07716,0.3024,0.05496,0.01803,0.02559,147.5,173,0.173,0.6629,0.03987,0.1113,0.04072,0.0165,0.06772,0.2252,0.03794,1.396
-2.61622,0.1021,0.01149,0.1348,0.03498,0.06919,0.02153,0.1681,0.03467,0.1298,0.05872,0.07392,0.05725,0.09887,0.04267,0.04752,0.1833,0.195,0.0662,0.3063,0.03856,0.02293,0.01985,136.5,148.9,0.1254,0.788,0.0354,0.07134,0.0499,0.01272,0.05233,0.2187,0.04249,0.8826
-2.51022,0.07805,0.01692,0.1356,0.04654,0.05225,0.04106,0.09854,0.03975,0.1591,0.06825,0.0457,0.06456,0.05555,0.07572,0.05078,0.3047,0.1389,0.05012,0.2126,0.03491,0.02453,0.02119,122.8,126,0.1031,0.7299,0.02333,0.06633,0.05688,0.01409,0.04274,0.1827,0.0385,0.4917
-2.40522,0.06915,0.02218,0.1448,0.04721,0.04795,0.05829,0.07265,0.02878,0.1449,0.05255,0.02847,0.04785,0.03877,0.09889,0.06141,0.3319,0.08414,0.04191,0.1282,0.05864,0.02468,0.02524,118.6,111.4,0.08172,0.4661,0.01883,0.06038,0.06749,0.01445,0.04099,0.1152,0.03493,0.2896
-2.29922,0.07854,0.02199,0.1656,0.0355,0.05089,0.05621,0.09044,0.01365,0.1245,0.02407,0.01987,0.02326,0.02902,0.08091,0.06032,0.2597,0.06603,0.05809,0.1134,0.104,0.02221,0.03148,117.1,102.2,0.06089,0.2609,0.01811,0.04691,0.06463,0.01435,0.04477,0.07435,0.04379,0.2562
-2.19322,0.09536,0.01782,0.1841,0.02324,0.04696,0.0406,0.113,0.005895,0.1629,0.009093,0.01458,0.01078,0.01824,0.04095,0.04206,0.1842,0.05697,0.07973,0.1196,0.132,0.01626,0.04128,110.9,95.42,0.04826,0.1969,0.01299,0.04253,0.04392,0.01855,0.04958,0.0634,0.05551,0.2581
-2.08722,0.1165,0.01278,0.1983,0.01581,0.04567,0.02471,0.1184,0.003154,0.3137,0.005714,0.0131,0.008793,0.01694,0.01514,0.05203,0.1245,0.04099,0.08203,0.109,0.1257,0.01887,0.04601,105.8,89.37,0.04294,0.1488,0.007734,0.04433,0.02717,0.02752,0.04744,0.05298,0.06308,0.1978
-1.98122,0.133,0.008962,0.1935,0.0113,0.0574,0.01282,0.09381,0.002241,0.5167,0.004333,0.01357,0.009366,0.02575,0.007855,0.1252,0.07697,0.03156,0.06978,0.08957,0.1089,0.03881,0.03854,99.97,82.45,0.04162,0.09256,0.005637,0.04072,0.02192,0.03833,0.04685,0.0424,0.09205,0.1079
-1.87522,0.1222,0.00777,0.1508,0.0105,0.06001,0.006831,0.04806,0.002935,0.5375,0.004177,0.01203,0.009192,0.0347,0.004886,0.2031,0.06906,0.03323,0.05859,0.07305,0.103,0.05698,0.02562,85.91,78.86,0.03569,0.07365,0.004981,0.03574,0.0195,0.05564,0.05226,0.03287,0.1357,0.05084
-1.76922,0.097,0.008794,0.103,0.01428,0.03713,0.007271,0.0128,0.005525,0.3107,0.006834,0.01111,0.01315,0.04577,0.007753,0.2259,0.1173,0.04891,0.05637,0.07067,0.1088,0.05574,0.01866,67.24,81.15,0.02434,0.07425,0.004698,0.03688,0.01533,0.08334,0.04717,0.02436,0.1304,0.03634
-1.66322,0.07201,0.01142,0.07478,0.02002,0.01368,0.0121,0.0006602,0.009637,0.09554,0.01055,0.0142,0.04387,0.05505,0.05622,0.2017,0.2028,0.07358,0.06302,0.07196,0.1275,0.04182,0.02269,53.52,84.28,0.01479,0.07005,0.004212,0.03988,0.0117,0.1114,0.03062,0.0413,0.06986,0.03919
-1.55722,0.038,0.01407,0.0471,0.0248,0.004784,0.01718,0.000278,0.01465,0.02189,0.0126,0.01392,0.1189,0.04182,0.1758,0.1373,0.2608,0.07542,0.06949,0.05573,0.1423,0.02345,0.03855,45.3,90.15,0.001469,0.0671,0.003065,0.04183,0.01086,0.1329,0.01611,0.1042,0.008728,0.04197
