energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-2.94363,0.1081,0.04231,0.05607,0.06376,0.4531,0.00643,0.09115,0.01425,0.1301,0.1603,0.279,0.0965,0.3285,0.05618,0.04955,0.01596,0.1316,0.1135,0.2425,0.1146,0.01851,0.06956,142.7,166.2,0.226,0.377,0.01248,0.2008,0.0178,0.05588,0.03568,0.2332,0.02138,0.4597
-2.83863,0.1067,0.03281,0.06235,0.05141,0.4507,0.007708,0.1111,0.01332,0.1543,0.1336,0.3154,0.08955,0.3347,0.05834,0.05499,0.01455,0.1542,0.1358,0.2284,0.08787,0.01927,0.05762,156.6,183.1,0.2085,0.4287,0.02123,0.1692,0.02493,0.0392,0.05068,0.2327,0.02839,1.163
-2.73263,0.1113,0.0224,0.07874,0.03197,0.2497,0.007017,0.1188,0.01167,0.156,0.07623,0.2338,0.06364,0.2006,0.05104,0.04957,0.01171,0.1652,0.1334,0.173,0.06342,0.02574,0.04403,156.2,173.3,0.1591,0.4992,0.03565,0.1314,0.03361,0.01921,0.06294,0.2174,0.03819,1.598
-2.62763,0.09858,0.02482,0.1044,0.01932,0.06945,0.006192,0.113,0.01272,0.1718,0.04118,0.1347,0.04937,0.07199,0.03536,0.03707,0.01294,0.1825,0.1217,0.1764,0.05027,0.02949,0.03405,144.4,147.4,0.1382,0.6714,0.04345,0.09059,0.04271,0.01064,0.06151,0.2154,0.03991,1.334
-2.52163,0.07018,0.03844,0.1109,0.01284,0.009451,0.007083,0.09275,0.01913,0.1919,0.03567,0.08496,0.04822,0.02134,0.02199,0.0332,0.01832,0.1834,0.09586,0.2297,0.04461,0.02639,0.03225,128,122.1,0.1288,0.8124,0.03642,0.06265,0.0498,0.009947,0.04976,0.2076,0.03006,0.8032
-2.41663,0.0542,0.04812,0.0928,0.009756,0.006403,0.008364,0.08264,0.02687,0.1884,0.04122,0.06389,0.05289,0.01383,0.01765,0.0434,0.02124,0.1384,0.06614,0.2432,0.05128,0.01949,0.03617,118.1,109.5,0.103,0.7487,0.02476,0.05343,0.05701,0.009708,0.04202,0.1739,0.02395,0.446
-2.31163,0.06483,0.0435,0.09339,0.008588,0.01022,0.008874,0.1039,0.02907,0.2185,0.04253,0.04573,0.06619,0.01481,0.02085,0.05693,0.01864,0.1044,0.06099,0.2327,0.07288,0.01395,0.03652,112,104.3,0.06722,0.5426,0.01904,0.05659,0.06422,0.008894,0.04388,0.1345,0.03431,0.3302
-2.20563,0.08765,0.03972,0.1538,0.00759,0.02706,0.009277,0.1264,0.02814,0.3504,0.03822,0.02855,0.09131,0.01255,0.02963,0.07396,0.02281,0.1059,0.0666,0.2351,0.1008,0.01481,0.02924,102.2,97.48,0.04671,0.3174,0.01567,0.06081,0.05971,0.01154,0.05025,0.09688,0.05277,0.3289
-2.10063,0.107,0.05777,0.2426,0.006826,0.06457,0.01127,0.1177,0.03515,0.5235,0.03296,0.02327,0.1411,0.01286,0.05485,0.1138,0.05678,0.09321,0.06136,0.2138,0.1163,0.02457,0.01867,96.11,89.3,0.04083,0.1505,0.01108,0.05611,0.04285,0.01892,0.05116,0.06535,0.06461,0.2953
-1.99463,0.1113,0.08435,0.2455,0.006936,0.08462,0.01939,0.08986,0.0475,0.5572,0.02651,0.028,0.2057,0.02492,0.09613,0.1477,0.122,0.05964,0.05135,0.1498,0.1099,0.03241,0.01103,98.44,81.93,0.03662,0.08017,0.007461,0.04412,0.02846,0.03277,0.04703,0.04897,0.07928,0.1949
-1.88963,0.08884,0.08418,0.1358,0.008107,0.05623,0.03746,0.05474,0.04839,0.3916,0.01915,0.02383,0.2256,0.04468,0.1225,0.1209,0.1827,0.03282,0.04557,0.07992,0.1002,0.0259,0.01078,94.83,79.75,0.02963,0.08022,0.005317,0.03831,0.02094,0.06128,0.04392,0.03738,0.1012,0.09441
-1.78363,0.06501,0.05667,0.0339,0.01043,0.01615,0.06058,0.02297,0.0333,0.1777,0.01281,0.01343,0.167,0.07714,0.1073,0.08392,0.2,0.01856,0.04674,0.05948,0.1028,0.01554,0.01467,77.75,83.98,0.02238,0.09847,0.003224,0.0414,0.01562,0.1008,0.03714,0.02517,0.09968,0.04995
-1.67863,0.06289,0.02963,0.003033,0.01197,8.534e-06,0.07377,0.009002,0.01574,0.05378,0.007215,0.01053,0.07638,0.1129,0.06262,0.09133,0.1606,0.01231,0.05526,0.09306,0.1225,0.01278,0.01693,58.99,86.4,0.01917,0.1006,0.001321,0.04172,0.01237,0.1256,0.0274,0.03261,0.0708,0.04298
-1.57263,0.05064,0.01617,0.004089,0.01121,-3.586e-05,0.06479,0.005924,0.006799,0.02404,0.003809,0.009729,0.02024,0.09771,0.02808,0.08566,0.0929,0.009533,0.06728,0.1083,0.1609,0.01033,0.02229,46.96,90.54,0.01182,0.092,0.0005099,0.03823,0.01105,0.121,0.02145,0.08074,0.03741,0.04305
-1.46763,0.01991,0.01194,0.004173,0.009933,0.001817,0.04291,0.003143,0.005221,0.02255,0.004166,0.00543,0.006743,0.03851,0.02285,0.04211,0.04134,0.006126,0.08031,0.06944,0.186,0.003665,0.03766,43.17,102.3,-0.003569,0.08291,0.0009026,0.03723,0.008156,0.1018,0.01826,0.1381,0.02036,0.03998
