"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-3.5589","39.40536999999999","17.37668","1.1314","0.8073600000000001","44.53737","55.17399999999999"
"-3.50877","44.155770000000004","15.0659","1.5867800000000003","0.7006999999999994","57.50948000000002","48.94271"
"-3.45865","48.13768","16.622239999999998","1.9389900000000009","0.8850199999999999","70.61475999999999","59.198029999999996"
"-3.40852","51.230109999999996","18.1573","2.1056099999999995","1.01835","79.40197","68.86464000000001"
"-3.3584","50.49195","16.10699","2.0419500000000004","0.9638300000000003","79.70263999999999","67.39260999999999"
"-3.30827","43.26336","13.296080000000003","1.5229599999999994","0.8656299999999998","65.55877","66.97666000000001"
"-3.25815","37.7941","11.834309999999999","1.0298799999999997","0.8440799999999999","50.93818000000002","67.72030000000001"
"-3.20802","38.99276999999999","11.92286","0.74386","0.8662199999999998","42.30425000000002","75.88877"
"-3.15789","46.53504","13.07409","0.6709699999999996","0.9302099999999998","43.66414","86.22787000000004"
"-3.10777","54.35900000000001","14.717510000000003","0.8275100000000002","1.0392599999999999","53.09128","91.89856"
"-3.05764","67.48401","16.10292","1.1477199999999999","1.0151700000000001","68.55966999999998","90.09725000000002"
"-3.00752","77.77716000000001","21.37155","1.4004999999999999","1.1372700000000004","79.60627999999997","103.35405999999995"
"-2.95739","81.94438999999998","28.27594","1.5853100000000004","1.3425799999999999","85.68811000000001","124.05197000000003"
"-2.90727","91.01346","29.05995","1.5099000000000007","1.3438499999999995","80.69630000000001","121.71511"
"-2.85714","110.25178999999999","24.56779","1.44357","1.1573400000000003","73.90872999999999","107.19168000000002"
"-2.80702","115.76665","24.259540000000005","1.3913","1.0576299999999998","62.35948999999999","114.28246"
"-2.75689","116.60897000000001","27.26557","1.39615","1.0407099999999998","54.08122000000001","132.14965"
"-2.70677","111.70663","28.29815","1.3431000000000004","0.99439","49.717009999999995","136.57364"
"-2.65664","106.45409999999998","26.160150000000005","1.2234","0.9281700000000003","49.04916","123.41842"
"-2.60652","89.40825000000001","21.318079999999995","1.02927","0.7638499999999999","45.317859999999996","97.64650999999998"
"-2.55639","70.3527","21.469049999999996","0.9413599999999999","0.7569400000000002","40.588789999999996","97.01731999999998"
"-2.50627","69.37557000000001","21.14412","1.1163399999999999","0.6918599999999998","45.19104","96.44847000000001"
"-2.45614","61.20487000000001","19.97362","1.1009799999999996","0.62321","46.20987999999998","96.31433"
"-2.40602","57.086389999999994","20.672669999999997","1.1765399999999995","0.6264599999999999","49.66009","103.78268999999996"
"-2.35589","60.34458","20.35062","1.4348499999999993","0.5797499999999999","53.637139999999995","102.74563999999995"
"-2.30576","54.778400000000005","20.54185","1.4316600000000002","0.6136200000000002","48.355610000000006","99.06430000000003"
"-2.25564","49.16066","19.9159","1.3404500000000013","0.6214400000000001","47.499870000000016","94.75809000000004"
"-2.20551","43.56769","19.30302","1.2329500000000002","0.5919800000000002","48.938020000000016","90.58954"
"-2.15539","38.4412","19.92484","1.20701","0.5865399999999998","50.888639999999995","85.48188999999999"
"-2.10526","36.82645999999999","20.1206","1.28497","0.6073400000000004","53.10999000000001","77.72608"
"-2.05514","34.027289999999994","20.84182","1.34591","0.6951600000000002","53.46326999999999","77.47710999999998"
"-2.00501","27.159970000000005","20.007029999999997","1.2649300000000006","0.6594800000000001","49.27162999999999","77.63096000000002"
"-1.95489","23.33761","18.60039","1.1692100000000003","0.5354199999999999","49.73610999999999","78.94875"
"-1.90476","19.81733","18.412100000000002","1.0392399999999997","0.4835300000000001","50.34475","82.31351000000001"
"-1.85464","17.08587","14.911499999999997","0.9630100000000005","0.3714900000000001","51.6272","67.20558999999999"
"-1.80451","18.31059","9.98968","1.03674","0.3469000000000001","60.387380000000014","50.203570000000006"
"-1.75439","22.392400000000002","7.801490000000001","1.2774400000000008","0.41515000000000024","77.54936000000001","47.811619999999984"
"-1.70426","20.685419999999997","6.795449999999999","1.2078000000000002","0.34919999999999995","75.02235999999999","43.04709"
"-1.65414","18.363340000000004","6.58683","1.0950999999999995","0.2804300000000001","69.56469000000003","38.57564000000001"
"-1.60401","15.284350000000002","9.160169999999999","0.8920200000000001","0.29327","60.154970000000006","42.24849000000001"
"-1.55388","14.594759999999999","12.61871","0.8253999999999999","0.28821","65.39286000000001","48.89447000000002"
"-1.50376","17.714510000000004","12.46482","1.0119100000000005","0.2460700000000001","78.73630000000004","44.104220000000005"
"-1.45363","22.247769999999996","5.93696","1.28668","0.12603999999999999","90.51075999999998","18.862659999999995"
"-1.40351","22.709990000000005","5.666519999999999","1.3738100000000002","0.30965000000000004","90.99014999999996","13.89581"
"-1.35338","19.49841","19.04264","1.2530400000000004","1.0959000000000003","79.57115999999998","44.00294"
"-1.30326","17.637100000000004","28.914739999999995","1.1813999999999998","1.3327","70.04440000000001","59.82044"
"-1.25313","19.45922","44.157759999999996","1.27704","1.0078999999999998","70.26708999999998","41.50074"
"-1.20301","19.925230000000003","89.09075","1.24795","1.1634399999999998","68.97117000000001","31.67924"
"-1.15288","17.3394","113.35660000000001","1.0541800000000001","1.3373199999999998","58.16637999999999","32.97926"
"-1.10276","15.536010000000003","111.94325000000003","0.9697599999999996","1.2059200000000003","51.37033000000001","30.29712999999999"
"-1.05263","15.51328","131.57119","0.9769699999999999","1.3708899999999997","50.696529999999996","36.89064"
"-1.00251","15.040980000000001","149.68729000000002","0.9716099999999996","1.5625699999999998","49.499889999999986","49.76370000000003"
"-0.95238","15.607779999999998","155.65118999999993","1.0129499999999998","1.69977","52.76540000000001","58.103719999999996"
"-0.90226","16.28019","150.49463000000003","1.0125399999999996","1.7751499999999998","55.43524","56.99561000000001"
"-0.85213","16.10523","137.64586","0.88286","1.60781","52.98864000000002","54.741479999999996"
"-0.80201","17.406059999999997","117.98006","0.8347800000000003","1.2636999999999996","56.79537999999999","51.16171999999999"
"-0.75188","20.321219999999997","109.43927999999998","0.9321799999999999","1.0501600000000004","68.09107999999999","48.22284"
"-0.70175","19.00528","82.91466000000001","0.8378400000000003","0.6743699999999999","65.07431999999999","35.29112999999999"
