"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-9.48263345","-1.5220398116e-26","0.0","-1.5886163120100006e-26","0.0","-3.929636385999998e-26","0.0"
"-9.37663345","-3.9823972114e-23","-1.0513820139999999e-30","-4.156689388039999e-23","-1.4694812668100005e-30","-1.0282849699999996e-22","-3.649260871999999e-30"
"-9.27163345","-5.9656296024e-20","-5.099411027e-27","-6.227097729829996e-20","-7.128916762899999e-27","-1.540530445e-19","-1.7704723749999997e-26"
"-9.166633449999999","-5.114798640999999e-17","-1.4149793408999998e-23","-5.339184452479999e-17","-1.9786831959200006e-23","-1.3209197969999995e-16","-4.914310873000002e-23"
"-9.06063345","-2.4278416693e-14","-2.2478272220000006e-20","-2.5341909907600005e-14","-3.144159134460003e-20","-6.270185023e-14","-7.809291030000001e-20"
"-8.95563345","-6.780207098e-12","-2.043529472e-17","-7.076658891799999e-12","-2.85945192064e-17","-1.7511380240000003e-11","-7.102336939999995e-17"
"-8.849633449999999","-1.0776084211000002e-09","-1.0311437197e-14","-1.12426604536e-09","-1.4434343219499997e-14","-2.782491067e-09","-3.5854102439999993e-14"
"-8.74463345","-9.751062630999999e-08","-3.046762969e-12","-1.0163651307500005e-07","-4.267232014030001e-12","-2.515743186999999e-07","-1.060011997e-11"
"-8.63863345","-5.012078876999999e-06","-5.132397259000001e-10","-5.210265769099996e-06","-7.193225882219999e-10","-1.2901233100000003e-05","-1.7869986949999996e-09"
"-8.53363345","-0.00014590246745999996","-4.919008675e-08","-0.00015061389021700004","-6.900472663870002e-08","-0.00037317131099999984","-1.7144929870000003e-07"
"-8.42763345","-0.0023963914759","-2.673637693e-06","-0.0024277039670999997","-3.7552253893599997e-06","-0.006022697130000001","-9.331448239999999e-06"
"-8.32263345","-0.022121462618000003","-8.192849793e-05","-0.021267859382","-0.00011528179753600005","-0.052927565600000025","-0.0002865178134"
"-8.21663345","-0.11401423310999999","-0.0013992261306","-0.09413162901299996","-0.0019742955271700004","-0.23639845700000003","-0.004908105170000002"
"-8.11163345","-0.3115922914","-0.012969076049999995","-0.1477576256900001","-0.018383359131899993","-0.387819064","-0.04571942119999998"
"-8.00563345","-0.21199894800000005","-0.06048386513000001","0.33401995693340025","-0.08648134046700001","0.7622338093799998","-0.21523470399999994"
"-7.900633449999999","1.9003655629599996","-0.098781202","1.9460742855130015","-0.14545657781000002","4.826889112","-0.3629713129999999"
"-7.79563345","8.386305324","0.23165640098999996","4.1562778666","0.31510887813000016","10.825623070000006","0.7795353430400004"
